step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
418,0.81518,0.66667,,
419,0.08399,1.0,,
420,0.82554,0.66667,,
421,2.34238,0.66667,,
422,0.0006,1.0,,
423,0.00045,1.0,,
424,0.72884,0.66667,,
425,2.22823,0.66667,,
426,0.00146,1.0,,
427,0.09817,1.0,,
428,1.26652,0.66667,,
429,2.46818,0.66667,,
430,2.24619,0.66667,,
431,1.52066,0.66667,,
432,1.96231,0.66667,,
433,3.40174,0.66667,,
434,0.0001,1.0,,
435,0.53985,0.66667,,
436,0.70489,0.66667,,
437,0.00061,1.0,,
438,0.00086,1.0,,
439,0.83271,0.66667,,
440,0.00116,1.0,,
441,2.13212,0.66667,,
442,2.25938,0.66667,,
443,4e-05,1.0,,
444,8e-05,1.0,,
445,0.0011,1.0,,
446,0.00046,1.0,,
447,0.00014,1.0,,
448,0.01002,1.0,,
449,0.0014,1.0,,
450,1.16187,0.66667,,
451,0.63224,0.66667,,
452,0.00036,1.0,,
453,0.54706,0.66667,,
454,6e-05,1.0,,
455,5e-05,1.0,,
456,0.00162,1.0,,
457,9e-05,1.0,,
458,4e-05,1.0,,
459,0.96478,0.66667,,
460,6e-05,1.0,,
461,0.07904,1.0,,
462,3e-05,1.0,,
463,3e-05,1.0,,
464,1.70658,0.66667,,
465,8e-05,1.0,,
466,3e-05,1.0,,
467,7e-05,1.0,,
468,3e-05,1.0,,
469,3.14429,0.66667,,
470,2e-05,1.0,,
471,2.30645,0.66667,,
472,0.07799,1.0,,
473,3e-05,1.0,,
474,2e-05,1.0,,
475,0.85645,0.66667,,
476,3e-05,1.0,,
477,0.00249,1.0,,
478,2e-05,1.0,,
479,2e-05,1.0,,
480,2e-05,1.0,,
481,1.35717,0.66667,,
482,2e-05,1.0,,
483,0.00042,1.0,,
484,2e-05,1.0,,
485,0.00011,1.0,,
486,0.10943,1.0,,
487,2.24831,0.66667,,
488,4.92984,0.66667,,
489,2e-05,1.0,,
490,0.00731,1.0,,
491,0.0026,1.0,,
492,1.4576,0.66667,,
493,0.0005,1.0,,
494,2e-05,1.0,,
495,2e-05,1.0,,
496,2e-05,1.0,,
497,2e-05,1.0,,
498,2e-05,1.0,,
499,2e-05,1.0,,
500,0.01069,1.0,,
501,3e-05,1.0,0.00018,0.33333
502,2e-05,1.0,,
503,3.14088,0.66667,,
504,2e-05,1.0,,
505,4.81868,0.66667,,
506,2e-05,1.0,,
507,1e-05,1.0,,
508,2e-05,1.0,,
509,1.35644,0.66667,,
510,1e-05,1.0,,
511,0.01795,1.0,,
512,5.77821,0.66667,,
513,2e-05,1.0,,
514,1.05615,0.66667,,
515,0.04267,1.0,,
516,1e-05,1.0,,
517,2e-05,1.0,,
518,2e-05,1.0,,
519,2e-05,1.0,,
520,0.15158,1.0,,
521,1.47927,0.66667,,
522,0.00014,1.0,,
523,2.66652,0.66667,,
524,1.46488,0.66667,,
525,2e-05,1.0,,
526,2e-05,1.0,,
527,6e-05,1.0,,
528,2e-05,1.0,,
529,0.39515,0.66667,,
530,0.21282,1.0,,
531,1e-05,1.0,,
532,4.00657,0.66667,,
533,0.06712,1.0,,
534,1e-05,1.0,,
535,1e-05,1.0,,
536,1e-05,1.0,,
537,1e-05,1.0,,
538,1e-05,1.0,,
539,0.04386,1.0,,
540,1.53991,0.66667,,
541,1e-05,1.0,,
542,2e-05,1.0,,
543,0.2753,0.66667,,
544,2e-05,1.0,,
545,0.02407,1.0,,
546,1e-05,1.0,,
547,5.9884,0.66667,,
548,1.76942,0.66667,,
549,2.48751,0.66667,,
550,2e-05,1.0,,
551,1e-05,1.0,,
552,2e-05,1.0,,
553,4.38902,0.66667,,
554,1.69362,0.66667,,
555,1e-05,1.0,,
556,8e-05,1.0,,
557,1e-05,1.0,,
558,1e-05,1.0,,
559,1e-05,1.0,,
560,1.50266,0.66667,,
561,1.08705,0.66667,,
562,2.11107,0.66667,,
563,1e-05,1.0,,
564,1e-05,1.0,,
565,1e-05,1.0,,
566,1e-05,1.0,,
567,1e-05,1.0,,
568,0.001,1.0,,
569,0.00079,1.0,,
570,1e-05,1.0,,
571,1e-05,1.0,,
572,3.74781,0.66667,,
573,1e-05,1.0,,
574,1e-05,1.0,,
575,3.27564,0.66667,,
576,1e-05,1.0,,
577,0.00197,1.0,,
578,0.153,1.0,,
579,1e-05,1.0,,
580,1e-05,1.0,,
581,2.09297,0.66667,,
582,1e-05,1.0,,
583,1e-05,1.0,,
584,1e-05,1.0,,
585,1e-05,1.0,,
586,1e-05,1.0,,
587,1e-05,1.0,,
588,1e-05,1.0,,
589,1e-05,1.0,,
590,1e-05,1.0,,
591,1e-05,1.0,,
592,1e-05,1.0,,
593,3e-05,1.0,,
594,1e-05,1.0,,
595,1.83346,0.66667,,
596,1e-05,1.0,,
597,4.56001,0.66667,,
598,1e-05,1.0,,
599,1e-05,1.0,,
600,1e-05,1.0,,
601,1e-05,1.0,0.00889,0.33333
602,0.15696,1.0,,
603,4.76486,0.66667,,
604,1e-05,1.0,,
605,1e-05,1.0,,
606,1e-05,1.0,,
607,1e-05,1.0,,
608,1e-05,1.0,,
609,1e-05,1.0,,
610,0.00452,1.0,,
611,1e-05,1.0,,
612,1e-05,1.0,,
613,1e-05,1.0,,
614,1e-05,1.0,,
615,4.51234,0.66667,,
616,1e-05,1.0,,
617,1e-05,1.0,,
618,1e-05,1.0,,
619,0.00139,1.0,,
620,0.00104,1.0,,
621,0.91458,0.66667,,
622,1e-05,1.0,,
623,1e-05,1.0,,
624,6.37655,0.66667,,
625,1e-05,1.0,,
626,1e-05,1.0,,
627,1e-05,1.0,,
628,1e-05,1.0,,
629,1e-05,1.0,,
630,1e-05,1.0,,
631,1e-05,1.0,,
632,1e-05,1.0,,
633,1e-05,1.0,,
634,1e-05,1.0,,
635,1e-05,1.0,,
636,1e-05,1.0,,
637,1e-05,1.0,,
638,1e-05,1.0,,
639,1e-05,1.0,,
640,0.91917,0.66667,,
641,1e-05,1.0,,
642,5.29601,0.66667,,
643,1e-05,1.0,,
644,5.48823,0.66667,,
645,5.83357,0.66667,,
646,0.02013,1.0,,
647,1e-05,1.0,,
648,1e-05,1.0,,
649,1e-05,1.0,,
650,1e-05,1.0,,
651,0.00089,1.0,,
652,1e-05,1.0,,
653,1e-05,1.0,,
654,1e-05,1.0,,
655,1e-05,1.0,,
656,1e-05,1.0,,
657,1e-05,1.0,,
658,1e-05,1.0,,
659,1e-05,1.0,,
660,1e-05,1.0,,
661,0.9749,0.66667,,
662,1e-05,1.0,,
663,1e-05,1.0,,
664,5.62791,0.66667,,
665,1e-05,1.0,,
666,1e-05,1.0,,
667,1e-05,1.0,,
668,1e-05,1.0,,
669,1e-05,1.0,,
670,1e-05,1.0,,
671,1e-05,1.0,,
672,1e-05,1.0,,
673,1e-05,1.0,,
674,1e-05,1.0,,
675,2.88939,0.66667,,
676,1e-05,1.0,,
677,1e-05,1.0,,
678,0.01922,1.0,,
679,1e-05,1.0,,
680,1e-05,1.0,,
681,1e-05,1.0,,
682,2.38232,0.66667,,
683,4.01343,0.66667,,
684,0.04889,1.0,,
685,1e-05,1.0,,
686,0.27702,0.66667,,
687,1e-05,1.0,,
688,1e-05,1.0,,
689,3e-05,1.0,,
690,1.28104,0.66667,,
691,1e-05,1.0,,
692,1e-05,1.0,,
693,1e-05,1.0,,
694,1e-05,1.0,,
695,1e-05,1.0,,
696,1e-05,1.0,,
697,6.60367,0.66667,,
698,1e-05,1.0,,
699,5.40681,0.66667,,
700,1e-05,1.0,,
701,1e-05,1.0,1e-05,0.33333
702,1e-05,1.0,,
703,1e-05,1.0,,
704,1e-05,1.0,,
705,1e-05,1.0,,
706,1e-05,1.0,,
707,1e-05,1.0,,
708,1e-05,1.0,,
709,1e-05,1.0,,
710,1e-05,1.0,,
711,0.0001,1.0,,
712,5.82791,0.66667,,
713,1e-05,1.0,,
714,6.45018,0.66667,,
715,1e-05,1.0,,
716,5.62766,0.66667,,
717,6.24801,0.66667,,
718,1e-05,1.0,,
719,0.0,1.0,,
720,1e-05,1.0,,
721,1e-05,1.0,,
722,1e-05,1.0,,
723,0.0,1.0,,
724,0.0,1.0,,
725,0.0,1.0,,
726,0.0,1.0,,
727,0.0,1.0,,
728,0.00297,1.0,,
729,0.0,1.0,,
730,0.0,1.0,,
731,0.0,1.0,,
732,0.0,1.0,,
733,0.0,1.0,,
734,4.27835,0.66667,,
735,2.1691,0.66667,,
736,0.0,1.0,,
737,1e-05,1.0,,
738,0.0,1.0,,
739,5.81151,0.66667,,
740,0.0,1.0,,
741,0.0,1.0,,
742,0.76055,0.66667,,
743,0.0,1.0,,
744,0.0,1.0,,
745,0.0,1.0,,
746,2.97541,0.66667,,
747,0.0,1.0,,
748,0.0,1.0,,
749,0.0,1.0,,
750,0.01647,1.0,,
751,0.0,1.0,,
752,4.91333,0.66667,,
753,5.89884,0.66667,,
754,0.0,1.0,,
755,0.0,1.0,,
756,5.49533,0.66667,,
757,0.0,1.0,,
758,0.0,1.0,,
759,0.0,1.0,,
760,1.47477,0.66667,,
761,0.0,1.0,,
762,2e-05,1.0,,
763,0.0,1.0,,
764,0.0,1.0,,
765,1.51258,0.66667,,
766,0.0,1.0,,
767,0.0,1.0,,
768,0.0,1.0,,
769,5.03143,0.66667,,
770,6.04664,0.66667,,
771,2e-05,1.0,,
772,0.0,1.0,,
773,5e-05,1.0,,
774,0.0,1.0,,
775,0.0,1.0,,
776,4e-05,1.0,,
777,0.00047,1.0,,
778,0.0,1.0,,
779,0.0,1.0,,
780,0.0,1.0,,
781,0.0,1.0,,
782,0.0,1.0,,
783,5.53785,0.66667,,
784,0.0,1.0,,
785,0.0,1.0,,
786,0.0,1.0,,
787,5.15303,0.66667,,
788,0.0,1.0,,
789,0.0,1.0,,
790,0.0,1.0,,
791,0.0,1.0,,
792,1e-05,1.0,,
793,0.0,1.0,,
794,0.01565,1.0,,
795,0.0,1.0,,
796,5.04226,0.66667,,
797,5.24062,0.66667,,
798,0.0,1.0,,
799,4.0164,0.66667,,
800,4.51077,0.66667,,
801,0.0,1.0,0.0,0.33333
802,0.0,1.0,,
803,0.0,1.0,,
804,0.0,1.0,,
805,0.0,1.0,,
806,0.0,1.0,,
807,0.0,1.0,,
808,4.55571,0.66667,,
809,0.0,1.0,,
810,3.95642,0.66667,,
811,0.0,1.0,,
812,4.2121,0.66667,,
813,0.0,1.0,,
814,5.29695,0.66667,,
815,0.0,1.0,,
816,0.0,1.0,,
817,0.24368,0.66667,,
818,5.73505,0.66667,,
819,0.00355,1.0,,
820,0.0,1.0,,
821,0.0,1.0,,
822,0.0,1.0,,
823,0.0,1.0,,
824,0.0,1.0,,
825,0.0,1.0,,
826,2.24293,0.66667,,
827,0.0159,1.0,,
828,0.0,1.0,,
829,3.89191,0.66667,,
830,0.0,1.0,,
831,0.0,1.0,,
832,0.0,1.0,,
833,0.0,1.0,,
834,0.0,1.0,,
835,0.0,1.0,,
836,4.05702,0.66667,,
837,0.0,1.0,,
838,0.0,1.0,,
839,0.0,1.0,,
840,4.97243,0.66667,,
841,2.51306,0.66667,,
842,5.03573,0.66667,,
843,0.0,1.0,,
844,0.0,1.0,,
845,1e-05,1.0,,
846,0.0,1.0,,
847,0.0,1.0,,
848,0.0,1.0,,
849,4.67473,0.66667,,
850,0.0,1.0,,
851,4.40088,0.66667,,
852,4.25779,0.66667,,
853,0.0,1.0,,
854,0.0,1.0,,
855,0.0,1.0,,
856,3.42807,0.66667,,
857,0.0,1.0,,
858,4.69311,0.66667,,
859,0.0,1.0,,
860,0.0,1.0,,
861,2.03548,0.66667,,
862,0.0,1.0,,
863,0.00297,1.0,,
864,0.0,1.0,,
865,0.00023,1.0,,
866,5.14771,0.66667,,
867,0.36335,0.66667,,
868,0.0,1.0,,
869,0.0,1.0,,
870,2.89931,0.66667,,
871,0.0,1.0,,
872,0.00026,1.0,,
873,0.0,1.0,,
874,1e-05,1.0,,
875,0.0,1.0,,
876,0.0,1.0,,
877,4.49815,0.66667,,
878,5.76003,0.66667,,
879,1e-05,1.0,,
880,4.59441,0.66667,,
881,0.0,1.0,,
882,0.0,1.0,,
883,4.16533,0.66667,,
884,0.0,1.0,,
885,0.02163,1.0,,
886,1e-05,1.0,,
887,0.0,1.0,,
888,0.0,1.0,,
889,0.0,1.0,,
890,3.45527,0.66667,,
891,0.0,1.0,,
892,0.0,1.0,,
893,0.0,1.0,,
894,0.0,1.0,,
895,0.0,1.0,,
896,0.0,1.0,,
897,3.32642,0.66667,,
898,0.0,1.0,,
899,0.0,1.0,,
900,2e-05,1.0,,
901,4.88604,0.66667,0.0005,0.33333
902,0.0,1.0,,
903,0.0,1.0,,
904,0.00031,1.0,,
905,1.06433,0.66667,,
906,0.0,1.0,,
907,0.0,1.0,,
908,0.0,1.0,,
909,0.0,1.0,,
910,0.0,1.0,,
911,0.0,1.0,,
912,0.0,1.0,,
913,0.0,1.0,,
914,0.0,1.0,,
915,0.0,1.0,,
916,0.0,1.0,,
917,0.0,1.0,,
918,0.0,1.0,,
919,0.0,1.0,,
920,0.0,1.0,,
921,5.17624,0.66667,,
922,1e-05,1.0,,
923,0.0,1.0,,
924,0.0,1.0,,
925,4.90869,0.66667,,
926,0.00052,1.0,,
927,6.08361,0.66667,,
928,0.0,1.0,,
929,0.0,1.0,,
930,0.0,1.0,,
931,0.0186,1.0,,
932,0.0,1.0,,
933,0.0,1.0,,
934,0.0,1.0,,
935,4.23474,0.66667,,
936,0.0,1.0,,
937,0.0,1.0,,
938,3.13689,0.66667,,
939,0.0,1.0,,
940,4.7518,0.66667,,
941,0.00013,1.0,,
942,3.61788,0.66667,,
943,0.0,1.0,,
944,0.0,1.0,,
945,0.0,1.0,,
946,9e-05,1.0,,
947,0.0,1.0,,
948,0.0,1.0,,
949,0.0,1.0,,
950,0.06641,1.0,,
951,5.27197,0.66667,,
952,0.0,1.0,,
953,0.0,1.0,,
954,0.0,1.0,,
955,0.0,1.0,,
956,0.0,1.0,,
957,5.17925,0.66667,,
958,0.0,1.0,,
959,0.00903,1.0,,
960,0.0,1.0,,
961,5.53572,0.66667,,
962,4.9022,0.66667,,
963,0.0,1.0,,
964,0.0,1.0,,
965,0.0,1.0,,
966,0.0,1.0,,
967,0.0,1.0,,
968,3.9653,0.66667,,
969,4.29973,0.66667,,
970,5.33294,0.66667,,
971,4.92135,0.66667,,
972,0.0,1.0,,
973,5.3318,0.66667,,
974,0.00017,1.0,,
975,0.0,1.0,,
976,2.54757,0.66667,,
